"LineId","Month","Date","Time","Level","Component","PID","Content","EventId","EventTemplate"
"163","Oct","11","09:26:51","ns1","ftpd","32284","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"164","Oct","11","09:26:51","ns1","ftpd","32285","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"165","Oct","11","09:26:51","ns1","ftpd","32286","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"166","Oct","11","09:26:51","ns1","ftpd","32287","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"167","Oct","11","09:26:51","ns1","ftpd","32288","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"168","Oct","11","09:26:51","ns1","ftpd","32289","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"169","Oct","11","09:26:51","ns1","ftpd","32290","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"170","Oct","11","09:26:51","ns1","ftpd","32291","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"171","Oct","11","09:26:51","ns1","ftpd","32292","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"172","Oct","11","09:26:51","ns1","ftpd","32293","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"173","Oct","11","09:26:51","ns1","ftpd","32294","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"174","Oct","11","09:26:51","ns1","ftpd","32295","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"175","Oct","11","09:26:51","ns1","ftpd","32296","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"176","Oct","11","09:26:51","ns1","ftpd","32297","wu-ftpd - TLS settings: control allow, client_cert allow, data allow","E21","wu-ftpd - TLS settings: control allow, client_cert allow, data allow"
"177","Oct","11","09:28:43","ns1","ftpd","32275","FTP session closed","E32","FTP session closed"
"178","Oct","11","09:29:39","ns1","ftpd","32276","FTP session closed","E32","FTP session closed"
"179","Oct","11","09:29:39","ns1","ftpd","32284","FTP session closed","E32","FTP session closed"
"180","Oct","11","09:29:39","ns1","ftpd","32282","FTP session closed","E32","FTP session closed"
"181","Oct","11","09:29:39","ns1","ftpd","32283","FTP session closed","E32","FTP session closed"
"182","Oct","11","09:29:39","ns1","ftpd","32287","FTP session closed","E32","FTP session closed"
"183","Oct","11","09:29:39","ns1","ftpd","32290","FTP session closed","E32","FTP session closed"
"184","Oct","11","09:29:39","ns1","ftpd","32285","FTP session closed","E32","FTP session closed"
"185","Oct","11","09:29:39","ns1","ftpd","32277","FTP session closed","E32","FTP session closed"
"186","Oct","11","09:29:39","ns1","ftpd","32281","FTP session closed","E32","FTP session closed"
"187","Oct","11","09:29:39","ns1","ftpd","32278","FTP session closed","E32","FTP session closed"
"188","Oct","11","09:29:39","ns1","ftpd","32286","FTP session closed","E32","FTP session closed"
"189","Oct","11","09:29:40","ns1","ftpd","32292","FTP session closed","E32","FTP session closed"
"190","Oct","11","09:29:40","ns1","ftpd","32291","FTP session closed","E32","FTP session closed"
"191","Oct","11","09:29:40","ns1","ftpd","32289","FTP session closed","E32","FTP session closed"
"192","Oct","11","09:29:40","ns1","ftpd","32279","FTP session closed","E32","FTP session closed"
